Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Taxable,Image Src
akrapovic-full-system-titanium-yamaha-mt-09-2022,Akrapovič Full System Titanium – Yamaha MT-09 (2022),<p><strong>Akrapovič Full System Titanium – Yamaha MT-09 (2022)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2022 Yamaha MT-09. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha MT-09, MT09, 2022, Full",TRUE,Title,Default Title,AKR-MT09-FS-TI-2022,5000,shopify,1,deny,manual,1410.80,FALSE,
akrapovic-slip-on-line-titanium-yamaha-mt-09-2020,Akrapovič Slip-On Line Titanium – Yamaha MT-09 (2020),<p><strong>Akrapovič Slip-On Line Titanium – Yamaha MT-09 (2020)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2020 Yamaha MT-09. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha MT-09, MT09, 2020, Slip-On",TRUE,Title,Default Title,AKR-MT09-SL-TI-2020,5000,shopify,1,deny,manual,542.85,FALSE,
akrapovic-slip-on-line-carbon-yamaha-mt-09-2022,Akrapovič Slip-On Line Carbon – Yamaha MT-09 (2022),<p><strong>Akrapovič Slip-On Line Carbon – Yamaha MT-09 (2022)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2022 Yamaha MT-09. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha MT-09, MT09, 2022, Slip-On",TRUE,Title,Default Title,AKR-MT09-SL-CA-2022,5000,shopify,1,deny,manual,857.66,FALSE,
akrapovic-evolution-full-system-titanium-yamaha-mt-09-2022,Akrapovič Evolution Full System Titanium – Yamaha MT-09 (2022),<p><strong>Akrapovič Evolution Full System Titanium – Yamaha MT-09 (2022)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2022 Yamaha MT-09. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha MT-09, MT09, 2022, Evolution",TRUE,Title,Default Title,AKR-MT09-EVO-TI-2022,5000,shopify,1,deny,manual,1957.36,FALSE,
akrapovic-racing-full-system-titanium-yamaha-mt-09-2023,Akrapovič Racing Full System Titanium – Yamaha MT-09 (2023),<p><strong>Akrapovič Racing Full System Titanium – Yamaha MT-09 (2023)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2023 Yamaha MT-09. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha MT-09, MT09, 2023, Racing",TRUE,Title,Default Title,AKR-MT09-RACE-TI-2023,5000,shopify,1,deny,manual,2113.42,FALSE,
akrapovic-full-system-titanium-yamaha-yzf-r1-2020,Akrapovič Full System Titanium – Yamaha YZF-R1 (2020),<p><strong>Akrapovič Full System Titanium – Yamaha YZF-R1 (2020)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2020 Yamaha YZF-R1. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha YZF-R1, YZF-R1, 2020, Full",TRUE,Title,Default Title,AKR-YZF-R1-FS-TI-2020,5000,shopify,1,deny,manual,1573.55,FALSE,
akrapovic-slip-on-line-titanium-yamaha-yzf-r1-2024,Akrapovič Slip-On Line Titanium – Yamaha YZF-R1 (2024),<p><strong>Akrapovič Slip-On Line Titanium – Yamaha YZF-R1 (2024)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2024 Yamaha YZF-R1. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha YZF-R1, YZF-R1, 2024, Slip-On",TRUE,Title,Default Title,AKR-YZF-R1-SL-TI-2024,5000,shopify,1,deny,manual,821.51,FALSE,
akrapovic-slip-on-line-carbon-yamaha-yzf-r1-2024,Akrapovič Slip-On Line Carbon – Yamaha YZF-R1 (2024),<p><strong>Akrapovič Slip-On Line Carbon – Yamaha YZF-R1 (2024)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2024 Yamaha YZF-R1. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Yamaha YZF-R1, YZF-R1, 2024, Slip-On",TRUE,Title,Default Title,AKR-YZF-R1-SL-CA-2024,5000,shopify,1,deny,manual,651.82,FALSE,
akrapovic-evolution-full-system-titanium-yamaha-yzf-r1-2020,Akrapovič Evolution Full System Titanium – Yamaha YZF-R1 (2020),<p><strong>Akrapovič Evolution Full System Titanium – Yamaha YZF-R1 (2020)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2020 Yamaha YZF-R1. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha YZF-R1, YZF-R1, 2020, Evolution",TRUE,Title,Default Title,AKR-YZF-R1-EVO-TI-2020,5000,shopify,1,deny,manual,1894.68,FALSE,
akrapovic-racing-full-system-titanium-yamaha-yzf-r1-2020,Akrapovič Racing Full System Titanium – Yamaha YZF-R1 (2020),<p><strong>Akrapovič Racing Full System Titanium – Yamaha YZF-R1 (2020)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2020 Yamaha YZF-R1. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Yamaha YZF-R1, YZF-R1, 2020, Racing",TRUE,Title,Default Title,AKR-YZF-R1-RACE-TI-2020,5000,shopify,1,deny,manual,2284.84,FALSE,
akrapovic-full-system-titanium-yamaha-yzf-r6-2023,Akrapovič Full System Titanium – Yamaha YZF-R6 (2023),<p><strong>Akrapovič Full System Titanium – Yamaha YZF-R6 (2023)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2023 Yamaha YZF-R6. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha YZF-R6, YZF-R6, 2023, Full",TRUE,Title,Default Title,AKR-YZF-R6-FS-TI-2023,5000,shopify,1,deny,manual,1485.21,FALSE,
akrapovic-slip-on-line-titanium-yamaha-yzf-r6-2022,Akrapovič Slip-On Line Titanium – Yamaha YZF-R6 (2022),<p><strong>Akrapovič Slip-On Line Titanium – Yamaha YZF-R6 (2022)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2022 Yamaha YZF-R6. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha YZF-R6, YZF-R6, 2022, Slip-On",TRUE,Title,Default Title,AKR-YZF-R6-SL-TI-2022,5000,shopify,1,deny,manual,588.55,FALSE,
akrapovic-slip-on-line-carbon-yamaha-yzf-r6-2021,Akrapovič Slip-On Line Carbon – Yamaha YZF-R6 (2021),<p><strong>Akrapovič Slip-On Line Carbon – Yamaha YZF-R6 (2021)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2021 Yamaha YZF-R6. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Yamaha YZF-R6, YZF-R6, 2021, Slip-On",TRUE,Title,Default Title,AKR-YZF-R6-SL-CA-2021,5000,shopify,1,deny,manual,805.84,FALSE,
akrapovic-evolution-full-system-titanium-yamaha-yzf-r6-2020,Akrapovič Evolution Full System Titanium – Yamaha YZF-R6 (2020),<p><strong>Akrapovič Evolution Full System Titanium – Yamaha YZF-R6 (2020)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2020 Yamaha YZF-R6. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Yamaha YZF-R6, YZF-R6, 2020, Evolution",TRUE,Title,Default Title,AKR-YZF-R6-EVO-TI-2020,5000,shopify,1,deny,manual,1872.27,FALSE,
akrapovic-racing-full-system-titanium-yamaha-yzf-r6-2024,Akrapovič Racing Full System Titanium – Yamaha YZF-R6 (2024),<p><strong>Akrapovič Racing Full System Titanium – Yamaha YZF-R6 (2024)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2024 Yamaha YZF-R6. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Yamaha YZF-R6, YZF-R6, 2024, Racing",TRUE,Title,Default Title,AKR-YZF-R6-RACE-TI-2024,5000,shopify,1,deny,manual,2168.66,FALSE,
akrapovic-full-system-titanium-kawasaki-z900-2023,Akrapovič Full System Titanium – Kawasaki Z900 (2023),<p><strong>Akrapovič Full System Titanium – Kawasaki Z900 (2023)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2023 Kawasaki Z900. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Kawasaki Z900, Z900, 2023, Full",TRUE,Title,Default Title,AKR-Z900-FS-TI-2023,5000,shopify,1,deny,manual,1494.08,FALSE,
akrapovic-slip-on-line-titanium-kawasaki-z900-2024,Akrapovič Slip-On Line Titanium – Kawasaki Z900 (2024),<p><strong>Akrapovič Slip-On Line Titanium – Kawasaki Z900 (2024)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2024 Kawasaki Z900. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki Z900, Z900, 2024, Slip-On",TRUE,Title,Default Title,AKR-Z900-SL-TI-2024,5000,shopify,1,deny,manual,585.70,FALSE,
akrapovic-slip-on-line-carbon-kawasaki-z900-2020,Akrapovič Slip-On Line Carbon – Kawasaki Z900 (2020),<p><strong>Akrapovič Slip-On Line Carbon – Kawasaki Z900 (2020)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2020 Kawasaki Z900. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki Z900, Z900, 2020, Slip-On",TRUE,Title,Default Title,AKR-Z900-SL-CA-2020,5000,shopify,1,deny,manual,646.97,FALSE,
akrapovic-evolution-full-system-titanium-kawasaki-z900-2022,Akrapovič Evolution Full System Titanium – Kawasaki Z900 (2022),<p><strong>Akrapovič Evolution Full System Titanium – Kawasaki Z900 (2022)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2022 Kawasaki Z900. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Kawasaki Z900, Z900, 2022, Evolution",TRUE,Title,Default Title,AKR-Z900-EVO-TI-2022,5000,shopify,1,deny,manual,1782.90,FALSE,
akrapovic-racing-full-system-titanium-kawasaki-z900-2021,Akrapovič Racing Full System Titanium – Kawasaki Z900 (2021),<p><strong>Akrapovič Racing Full System Titanium – Kawasaki Z900 (2021)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2021 Kawasaki Z900. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki Z900, Z900, 2021, Racing",TRUE,Title,Default Title,AKR-Z900-RACE-TI-2021,5000,shopify,1,deny,manual,2315.90,FALSE,
akrapovic-full-system-titanium-kawasaki-zx-10r-2022,Akrapovič Full System Titanium – Kawasaki ZX-10R (2022),<p><strong>Akrapovič Full System Titanium – Kawasaki ZX-10R (2022)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2022 Kawasaki ZX-10R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Kawasaki ZX-10R, ZX10R, 2022, Full",TRUE,Title,Default Title,AKR-ZX10R-FS-TI-2022,5000,shopify,1,deny,manual,1464.15,FALSE,
akrapovic-slip-on-line-titanium-kawasaki-zx-10r-2023,Akrapovič Slip-On Line Titanium – Kawasaki ZX-10R (2023),<p><strong>Akrapovič Slip-On Line Titanium – Kawasaki ZX-10R (2023)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2023 Kawasaki ZX-10R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki ZX-10R, ZX10R, 2023, Slip-On",TRUE,Title,Default Title,AKR-ZX10R-SL-TI-2023,5000,shopify,1,deny,manual,821.26,FALSE,
akrapovic-slip-on-line-carbon-kawasaki-zx-10r-2023,Akrapovič Slip-On Line Carbon – Kawasaki ZX-10R (2023),<p><strong>Akrapovič Slip-On Line Carbon – Kawasaki ZX-10R (2023)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2023 Kawasaki ZX-10R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Kawasaki ZX-10R, ZX10R, 2023, Slip-On",TRUE,Title,Default Title,AKR-ZX10R-SL-CA-2023,5000,shopify,1,deny,manual,625.30,FALSE,
akrapovic-evolution-full-system-titanium-kawasaki-zx-10r-2021,Akrapovič Evolution Full System Titanium – Kawasaki ZX-10R (2021),<p><strong>Akrapovič Evolution Full System Titanium – Kawasaki ZX-10R (2021)</strong></p><p>Factory original Akrapovič Evolution Full System Titanium for the 2021 Kawasaki ZX-10R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Bunkerparts</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki ZX-10R, ZX10R, 2021, Evolution",TRUE,Title,Default Title,AKR-ZX10R-EVO-TI-2021,5000,shopify,1,deny,manual,1930.66,FALSE,
akrapovic-racing-full-system-titanium-kawasaki-zx-10r-2022,Akrapovič Racing Full System Titanium – Kawasaki ZX-10R (2022),<p><strong>Akrapovič Racing Full System Titanium – Kawasaki ZX-10R (2022)</strong></p><p>Factory original Akrapovič Racing Full System Titanium for the 2022 Kawasaki ZX-10R. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: Ten Kate Shop</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Ten Kate Shop, Kawasaki ZX-10R, ZX10R, 2022, Racing",TRUE,Title,Default Title,AKR-ZX10R-RACE-TI-2022,5000,shopify,1,deny,manual,2213.72,FALSE,
akrapovic-full-system-titanium-kawasaki-z650-2024,Akrapovič Full System Titanium – Kawasaki Z650 (2024),<p><strong>Akrapovič Full System Titanium – Kawasaki Z650 (2024)</strong></p><p>Factory original Akrapovič Full System Titanium for the 2024 Kawasaki Z650. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki Z650, Z650, 2024, Full",TRUE,Title,Default Title,AKR-Z650-FS-TI-2024,5000,shopify,1,deny,manual,1483.76,FALSE,
akrapovic-slip-on-line-titanium-kawasaki-z650-2021,Akrapovič Slip-On Line Titanium – Kawasaki Z650 (2021),<p><strong>Akrapovič Slip-On Line Titanium – Kawasaki Z650 (2021)</strong></p><p>Factory original Akrapovič Slip-On Line Titanium for the 2021 Kawasaki Z650. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, NR1 Motor, Kawasaki Z650, Z650, 2021, Slip-On",TRUE,Title,Default Title,AKR-Z650-SL-TI-2021,5000,shopify,1,deny,manual,700.35,FALSE,
akrapovic-slip-on-line-carbon-kawasaki-z650-2020,Akrapovič Slip-On Line Carbon – Kawasaki Z650 (2020),<p><strong>Akrapovič Slip-On Line Carbon – Kawasaki Z650 (2020)</strong></p><p>Factory original Akrapovič Slip-On Line Carbon for the 2020 Kawasaki Z650. Manufactured from aerospace-grade materials with precision TIG welding. Includes all mounting hardware and conical silencer end cap. Homologated for road use (ECE approval where applicable).</p><p><em>Source: NR1 Motor</em></p>,Akrapovič,Exhaust System,"Akrapovic, exhaust, motorcycle, Bunkerparts, Kawasaki Z650, Z650, 2020, Slip-On",TRUE,Title,Default Title,AKR-Z650-SL-CA-2020,5000,shopify,1,deny,manual,859.31,FALSE,
